,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ID","display_id","GUID","DID","DAO","ShortTitle","Category","Type","Status","Priority","Date","Author","Authors","Tags","Description","Context_Origin_WhyItWasInitiated","Technology","SFIA_Level","SFIA_Domain","SFIA_Maturity","Related_KNIFE","PotentialOutputs","Owner","Org","Project","Locale","FolderName","SidebarLabel","LinkSlug","Copyright","RightsHolderContent","RightsHolderSystem","License","Disclaimer"
"K001",,,,,"EA modelovanie a motivácia","Verzionanie-sdlc","Integrácia","hotové","🎯",01.03.2024,"Roman Kazicka",,,"Systém motivácie pomocou lízaniek a spätnej väzby","Jedno z prvých TERNO, vzniklo pri návrhu systému motivácie v rámci tímu",,2,"Business Analysis / Modelling","Diagrammatic",,,,,,,,,,,,,,
"K002",,,,,"Git workflow pre EA modely","Platformy","Vývoj / Integrácia","v procese","🔥",04.03.2024,"Roman Kazicka",,,"Multirelease stratégie, LemonTree, merge politiky","Založené na reálnej potrebe riešiť multirelease workflow pre EA",,3,"Configuration Management","Tool-based",,,,,,,,,,,,,,
"K003",,,,,"LibreOffice + Python integrácia","Technologie","Edukačné","v procese","🔥",08.03.2024,"Roman Kazicka",,,"Skriptovanie v LO cez Python a venv izolácie","Reakcia na požiadavku na moderný vývoj v LibreOffice – Python/venv",,3,"Software Development","Scriptable",,,,,,,,,,,,,,
"K004",,,,,"Docker pre študentov (K12)","RiverOfMyLife","Osobný rozvoj / Algoritmika","plánované","🧠",20.03.2024,"Roman Kazicka",,,"Zjednodušené návody a obrázky pre začiatočníkov","Vzniklo ako návrh edukačného materiálu pri tvorbe kurzov pre Docker",,2,"DevOps / Infrastructure","Learning-based",,,,,,,,,,,,,,
"K005",,,,,"BaZi pre racionálne duše","UserGuide","Správa Gitea / Práva","zaradené","💡",18.04.2025,"Roman Kazicka",,,"Sebapoznanie cez dátum a čas narodenia (BaZi)","Záznam vznikol počas diskusie o TCM a racionálnom prístupe k BaZi",,2,"Knowledge Engineering","Exploratory",,,,,,,,,,,,,,
"K006",,,,,"Tímová správa práv v Gitea","UserGUide","Správa/Automatizácia","pripomenúť","📌",08.04.2024,"Roman Kazicka",,,"Rozdelenie práv podľa tímov, chránené vetvy, PR politiky","Zaznamenané počas diskusie o Gitea právach a workflow – T002",,3,"Configuration Management","Tool-based",,,,,,,,,,,,,,
"K007",,,,,"Helper skript na obrázky v Markdown","Leadership","Hodnoty / Strategické","aktívne","⚙️",17.04.2024,"Roman Kazicka",,,"Generovanie obrázkových blokov do .md vrátane URL","Vzniklo pri návrhu Markdown workflow helpera – súvisiace s T007",,2,"General Knowledge Work","Adaptive",,,,,,,,,,,,,,
"K008",,,,,"DCMM a DAO – hodnota leadershipu","Marketing","Marketing / AI","plánované","🧭",04.04.2024,"Roman Kazicka",,,"Sebariadenie, dôvera a samočistiace systémy","Diskusia o leadership kvalite v rámci strategických tém – T008",,2,"Business Analysis / Modelling","Diagrammatic",,,,,,,,,,,,,,
"K009",,,,,"LinkedIn post engine – AI automatizácia","Products","Vývoj / AI","koncept","🧪",10.04.2024,"Roman Kazicka",,,"Generovanie postov na LinkedIn z obsahu","Myšlienka z praxe na LinkedIn, súvis s T009 a zdieľaním obsahu",,2,"General Knowledge Work","Adaptive",,,,,,,,,,,,,,
"K010",,,,,"OpenAI klient – vlastná AI komunikácia","LO vývoj","Šablóny / LO","začiatok","⚡",13.04.2024,"Roman Kazicka",,,"Appka s prepojením na OpenAI API a archív komunikácie","Začiatok vývoja AI nástroja, súvisí s plánom T018",,2,"General Knowledge Work","Adaptive",,,,,,,,,,,,,,
